,0,1,2,3,4,5,6,7,8,9
0,100.1,100.05,100.0,100.15,100.05,100.05,99.95,100.1,100.05,100.0
1,100.15,100.1,100.0,100.0,100.05,100.3,100.1,100.15,100.05,100.0
2,100.0,99.95,100.0,99.95,99.95,100.05,100.05,100.05,100.0,99.95
3,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.9
4,99.9,99.85,99.9,99.9,99.85,99.9,99.9,99.9,99.9,99.85
5,99.9,99.85,99.9,99.85,99.85,99.85,99.85,99.85,99.85,99.85
6,99.8,99.8,99.85,99.8,99.85,99.75,99.8,99.75,99.9,99.75
7,99.7,99.7,99.75,99.75,99.75,99.7,99.65,99.75,99.75,99.75
8,99.65,99.7,99.7,99.65,99.7,99.7,99.75,99.7,99.75,99.7
9,99.75,99.6,99.7,99.7,99.65,99.7,99.55,99.65,99.7,99.65
10,99.6,99.6,99.6,99.55,99.6,99.6,99.6,99.65,99.6,99.55
11,99.1,99.5,99.55,99.5,99.55,99.45,99.55,99.55,99.55,99.55
12,99.35,99.5,99.45,99.4,99.45,99.5,99.5,99.5,99.5,99.45
13,99.4,99.4,99.4,99.45,99.4,99.35,99.35,99.35,99.45,99.4
14,99.25,99.3,99.35,99.35,99.35,99.35,99.35,99.3,99.35,99.3
15,99.25,99.2,99.25,99.25,99.25,99.2,99.25,99.25,99.25,99.2
16,99.15,99.2,99.2,99.2,99.2,99.25,99.25,99.15,99.2,99.1
17,99.25,99.2,99.2,99.2,99.2,99.2,99.15,99.15,99.25,99.15
18,99.15,99.15,99.2,99.05,99.2,99.15,99.15,99.2,99.15,99.2
19,99.1,99.1,99.1,99.05,99.1,99.0,99.15,99.05,99.15,99.15
20,99.05,99.05,99.0,99.05,99.05,99.05,99.1,98.9,99.1,99.05
21,99.05,99.05,99.0,99.05,99.05,99.0,99.0,99.05,99.05,99.05
22,99.05,99.05,99.1,99.05,99.0,99.0,99.0,99.0,99.05,99.1
23,98.95,99.0,99.0,98.8,98.9,99.05,99.05,98.85,99.05,99.05
24,98.95,99.05,99.05,98.95,98.9,98.9,98.95,98.85,98.95,99.05
25,99.0,99.0,99.0,99.0,99.0,98.95,98.95,99.0,99.0,99.05
26,98.95,99.05,99.05,98.95,98.85,99.0,98.85,98.95,99.05,99.0
27,98.95,99.0,98.95,98.95,98.9,98.9,98.9,98.9,99.0,99.05
28,98.9,98.95,98.95,98.95,98.95,98.95,98.85,98.9,98.95,98.95
29,98.9,98.9,98.95,98.9,98.9,98.85,98.9,98.8,98.85,98.95
30,98.85,98.85,98.85,98.85,98.85,98.8,98.85,98.7,98.85,98.9
31,98.85,98.8,98.8,98.75,98.75,98.75,98.75,98.75,98.75,98.85
32,98.7,98.75,98.75,98.65,98.75,98.7,98.75,98.75,98.75,98.75
33,98.7,98.65,98.65,98.7,98.7,98.65,98.65,98.6,98.7,98.75
34,98.65,98.7,98.75,98.55,98.65,98.65,98.65,98.6,98.65,98.7
35,98.65,98.65,98.65,98.6,98.65,98.55,98.65,98.6,98.7,98.65
36,98.7,98.7,98.7,98.65,98.7,98.65,98.7,98.7,98.7,98.65
37,98.75,98.75,98.75,98.75,98.65,98.65,98.75,98.75,98.75,98.7
38,98.65,98.6,98.7,98.6,98.65,98.65,98.7,98.65,98.7,98.7
39,98.5,98.6,98.7,98.65,98.65,98.65,98.65,98.55,98.7,98.55
40,98.7,98.65,98.8,98.7,98.7,98.75,98.7,98.7,98.75,98.7
41,98.7,98.7,98.7,98.6,98.75,98.6,98.6,98.65,98.7,98.7
42,98.55,98.55,98.6,98.55,98.55,98.55,98.6,98.55,98.6,98.6
43,98.5,98.45,98.6,98.4,98.5,98.55,98.6,98.5,98.55,98.55
44,98.5,98.45,98.45,98.5,98.5,98.45,98.45,98.4,98.55,98.45
45,98.3,98.35,98.35,98.25,98.35,98.35,98.35,98.35,98.35,98.35
46,98.35,98.35,98.35,98.4,98.3,98.35,98.35,98.25,98.4,98.3
47,98.2,98.25,98.35,98.25,98.35,98.35,98.35,98.3,98.35,98.3
48,98.3,98.3,98.25,98.25,98.3,98.35,98.35,98.35,98.4,98.3
49,98.2,98.15,98.2,98.15,98.2,98.2,98.25,98.25,98.25,98.25
50,98.15,98.15,98.2,98.1,98.2,98.2,98.2,98.2,98.25,98.2
51,98.15,98.2,98.25,98.15,98.2,98.15,98.2,98.15,98.2,98.2
52,98.2,98.25,98.2,98.25,98.2,98.25,98.2,98.25,98.25,98.2
53,98.25,98.35,98.35,98.25,98.25,98.2,98.25,98.2,98.3,98.2
54,98.25,98.25,98.3,98.25,98.35,98.25,98.35,98.2,98.3,98.3
55,98.2,98.25,98.2,98.25,98.3,98.2,98.15,98.2,98.3,98.15
56,98.2,98.2,98.2,98.15,98.2,98.1,98.15,98.15,98.2,98.15
57,98.3,98.3,98.45,98.3,98.35,98.25,98.25,98.25,98.25,98.35
58,98.4,98.4,98.35,98.3,98.45,98.3,98.3,98.3,98.35,98.3
59,98.45,98.4,98.4,98.4,98.45,98.35,98.35,98.3,98.4,98.3
60,98.45,98.45,98.45,98.45,98.5,98.5,98.4,98.45,98.5,98.45
61,98.6,98.5,98.5,98.5,98.65,98.45,98.45,98.5,98.55,98.45
62,98.5,98.45,98.45,98.45,98.5,98.45,98.4,98.45,98.5,98.45
63,98.4,98.45,98.4,98.3,98.3,98.4,98.3,98.45,98.45,98.4
64,98.35,98.4,98.4,98.4,98.4,98.35,98.35,98.35,98.45,98.4
65,98.35,98.3,98.35,98.3,98.35,98.3,98.25,98.3,98.25,98.4
66,98.2,98.25,98.25,98.2,98.15,98.2,98.15,98.15,98.3,98.25
67,98.15,98.2,98.2,98.15,98.2,98.15,98.1,98.15,98.25,98.25
68,98.15,98.15,98.1,98.15,98.15,98.1,98.1,98.1,98.15,98.15
69,98.15,98.05,98.05,98.0,98.05,98.05,98.0,98.0,98.1,98.1
70,98.05,98.05,98.05,98.0,98.05,98.05,98.0,98.0,98.05,98.05
71,98.15,98.15,98.1,98.05,98.15,98.15,98.2,98.05,98.1,98.05
72,98.15,98.2,98.1,98.1,98.1,98.05,98.05,98.05,98.05,98.05
73,97.95,98.05,98.1,98.1,98.0,98.1,98.05,98.05,98.1,98.05
74,98.1,98.15,98.1,98.05,98.1,98.1,98.15,98.05,98.15,98.1
75,98.2,98.25,98.25,98.15,98.15,98.15,98.15,98.1,98.1,98.1
76,98.05,98.1,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.1
77,98.05,97.95,98.1,98.05,98.1,97.95,98.0,98.0,98.1,98.05
78,98.15,98.15,98.15,98.25,98.2,98.2,98.2,98.15,98.1,98.1
79,98.3,98.2,98.2,98.2,98.25,98.2,98.35,98.25,98.2,98.25
80,98.35,98.15,98.35,98.35,98.3,98.3,98.3,98.3,98.3,98.35
81,98.4,98.4,98.45,98.45,98.45,98.4,98.4,98.45,98.45,98.45
82,98.6,98.65,98.6,98.55,98.55,98.5,98.45,98.55,98.6,98.55
83,98.65,98.6,98.65,98.6,98.65,98.7,98.65,98.6,98.65,98.6
84,98.75,98.7,98.7,98.75,98.75,98.75,98.7,98.7,98.7,98.75
85,98.7,98.7,98.7,98.7,98.75,98.65,98.7,98.7,98.7,98.75
86,98.8,98.6,98.75,98.75,98.75,98.75,98.7,98.55,98.55,98.7
87,98.9,98.95,98.75,98.85,98.75,98.85,98.75,98.95,98.85,98.8
88,98.8,98.85,98.8,98.85,98.75,98.75,98.75,98.75,98.85,98.75
89,98.95,98.75,98.8,98.75,98.75,98.75,98.7,98.75,98.85,98.7
90,98.85,98.75,98.75,98.75,98.65,98.75,98.75,98.7,98.75,98.7
91,98.7,98.6,98.7,98.65,98.65,98.7,98.65,98.6,98.65,98.7
92,98.65,98.75,98.6,98.55,98.65,98.6,98.6,98.65,98.65,98.65
93,98.55,98.55,98.55,98.55,98.6,98.55,98.55,98.55,98.55,98.6
94,98.55,98.55,98.55,98.5,98.5,98.55,98.55,98.5,98.55,98.55
95,98.45,98.5,98.5,98.45,98.45,98.45,98.45,98.4,98.45,98.5
96,98.45,98.45,98.45,98.35,98.5,98.5,98.45,98.5,98.5,98.5
97,98.55,98.5,98.5,98.5,98.5,98.5,98.45,98.5,98.5,98.45
98,98.6,98.6,98.55,98.55,98.55,98.5,98.65,98.5,98.55,98.5
99,98.6,98.65,98.65,98.5,98.55,98.65,98.6,98.75,98.6,98.6
100,98.7,98.65,98.7,98.7,98.7,98.6,98.65,98.5,98.6,98.55
101,98.6,98.6,98.6,98.65,98.55,98.65,98.55,98.55,98.55,98.6
