,0,1,2,3,4,5,6,7,8,9
0,100.1,100.05,100.0,100.15,100.05,100.05,99.95,100.1,100.05,100.0
1,100.0,100.0,100.1,100.0,100.0,100.1,100.05,100.05,100.05,100.05
2,100.0,100.05,100.05,100.0,99.95,100.0,100.0,100.05,99.95,100.1
3,99.95,100.0,100.0,99.95,99.95,99.95,99.9,100.0,99.9,99.95
4,99.95,100.0,99.95,99.95,99.95,99.95,99.9,99.85,100.0,100.0
5,99.95,100.05,99.9,99.85,99.85,99.85,99.85,99.9,99.9,99.85
6,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.85,99.8
7,99.8,99.75,99.75,99.8,99.75,99.7,99.85,99.75,99.85,99.75
8,99.7,99.65,99.7,99.75,99.65,99.65,99.75,99.65,99.7,99.65
9,99.7,99.6,99.65,99.65,99.6,99.6,99.65,99.65,99.65,99.65
10,99.65,99.55,99.55,99.55,99.6,99.65,99.6,99.5,99.6,99.55
11,99.5,99.55,99.75,99.55,99.5,99.55,99.6,99.45,99.55,99.6
12,99.5,99.5,99.25,99.55,99.5,99.55,99.45,99.5,99.4,99.55
13,99.4,99.4,99.45,99.15,99.45,99.5,99.5,99.4,99.25,99.4
14,99.4,99.4,99.65,99.45,99.4,99.35,99.45,99.35,99.35,99.35
15,99.25,99.4,99.35,99.3,99.35,99.3,99.35,99.3,99.3,99.25
16,99.25,99.35,99.4,99.15,99.25,99.2,99.25,99.25,99.3,99.35
17,99.1,99.2,98.65,98.85,99.2,99.15,99.1,99.1,99.2,99.1
18,99.15,99.2,99.15,99.1,99.15,99.1,99.15,99.1,99.1,99.1
19,99.15,99.2,99.25,99.25,99.1,99.2,99.2,99.2,99.15,99.15
20,99.15,99.15,99.05,99.1,99.15,99.15,99.15,99.15,99.1,99.1
21,99.15,99.05,99.2,99.2,99.2,99.1,99.3,99.15,99.2,99.1
22,99.15,99.25,99.3,99.15,99.15,99.2,99.25,99.25,99.3,99.15
23,99.2,99.3,99.35,99.15,99.2,99.2,99.2,99.15,99.35,99.25
