iter	RMSE
0	0.8227380269
1	0.8080380171
2	0.7915641516
3	0.7805018551
4	0.7677384615
5	0.7604132108
6	0.751339708
7	0.739130958
8	0.7258570165
9	0.7136699069
10	0.705190432
11	0.6951662145
12	0.6855851018
13	0.6766751648
14	0.6661180468
15	0.6580037911
16	0.647191432
17	0.6393628123
18	0.6350843879
19	0.6240545203
20	0.6171303846
21	0.6065888063
22	0.5995844966
23	0.5909701405
24	0.5831423611
25	0.5765720868
26	0.5696219922
27	0.5626023479
28	0.5534319754
29	0.5478365679
30	0.5407460806
31	0.5349652628
32	0.5274178495
33	0.5187624789
34	0.5109067558
35	0.5033885142
36	0.497780372
37	0.4912467892
38	0.4863637464
39	0.4794798209
40	0.473413334
41	0.4681749994
42	0.4595919922
43	0.452322577
44	0.4449737477
45	0.4411741922
46	0.4358656315
47	0.4285924101
48	0.4256428805
49	0.4161449707
50	0.411446684
51	0.4067807577
52	0.4016028392
53	0.3961669187
54	0.3893172267
55	0.3860949794
56	0.3819310425
57	0.3769684415
58	0.3747028805
59	0.3735119384
60	0.3680821429
61	0.3642847042
62	0.3608735406
63	0.3571838131
64	0.3548975917
65	0.3515859831
66	0.3445328583
67	0.3430472104
68	0.3392092684
69	0.3354406849
70	0.3339106102
71	0.3269880976
72	0.3242571013
73	0.3186159085
74	0.3164225971
75	0.3109808798
76	0.309560456
77	0.3052650071
78	0.3014092404
79	0.2961019248
80	0.2908064956
81	0.2862375466
82	0.2820561694
83	0.2759700184
84	0.273349552
85	0.2690876522
86	0.2670791571
87	0.2633123719
88	0.2577516707
89	0.2532951874
90	0.2498526565
91	0.2481941134
92	0.2436082713
93	0.2402801657
94	0.2396943473
95	0.2340377363
96	0.2313142914
97	0.226275268
98	0.2216775936
99	0.2194923245
100	0.2172230876
101	0.2129571902
102	0.2114090187
103	0.2105283549
104	0.2078059273
105	0.2048884693
106	0.2014320444
107	0.1973010624
108	0.1932498869
109	0.1926768175
110	0.192150876
111	0.1885337694
112	0.1867575174
113	0.1855476223
114	0.1847975954
115	0.1816857492
116	0.1787320855
117	0.175982404
118	0.1744405044
119	0.1734643465
120	0.1712919226
121	0.1676204797
122	0.1670604608
123	0.1638224631
124	0.1624926962
125	0.1610018828
126	0.1600935193
127	0.1584418527
128	0.1570634976
129	0.1558232265
130	0.1518375679
131	0.1511312712
132	0.1480198934
133	0.1477929855
134	0.1457897745
135	0.1455122095
136	0.1451966981
137	0.1449041049
138	0.1426160463
139	0.1412508996
140	0.1399651989
141	0.1378197437
142	0.1355628418
143	0.1345981285
144	0.1322119664
145	0.1307455535
146	0.129840239
147	0.1280934253
148	0.1275364364
149	0.1251585061
150	0.1236532753
151	0.1228893192
152	0.1215523231
153	0.1203105781
154	0.1193584166
155	0.1187101541
156	0.1176621367
157	0.1160763654
158	0.1142509371
159	0.1120122314
160	0.1110794823
161	0.1095960989
162	0.107718164
163	0.1072264027
164	0.1059095987
165	0.1043956622
166	0.104051901
167	0.1025995032
168	0.1024036609
169	0.1010489942
170	0.09956609283
171	0.09735419733
172	0.09608534511
