iter	Passed	Remaining
0	9	1915
1	19	1948
2	30	1985
3	40	1983
4	50	1975
5	61	1976
6	71	1976
7	82	1980
8	92	1971
9	103	1974
10	114	1959
11	124	1952
12	134	1940
13	145	1932
14	156	1925
15	166	1917
16	176	1903
17	187	1891
18	197	1880
19	207	1867
20	217	1856
21	226	1836
22	235	1815
23	245	1801
24	254	1783
25	264	1768
26	274	1756
27	283	1741
28	293	1730
29	303	1720
30	313	1707
31	322	1692
32	331	1677
33	343	1677
34	353	1664
35	363	1656
36	372	1642
37	383	1634
38	392	1621
39	403	1612
40	412	1601
41	422	1589
42	431	1576
43	442	1567
44	451	1555
45	460	1542
46	470	1532
47	480	1521
48	493	1521
49	503	1510
50	512	1498
51	522	1487
52	531	1474
53	541	1464
54	551	1453
55	560	1440
56	569	1428
57	579	1417
58	588	1405
59	597	1395
60	606	1383
61	615	1370
62	624	1358
63	633	1346
64	642	1334
65	652	1323
66	661	1313
67	670	1301
68	679	1290
69	689	1279
70	698	1268
71	707	1258
72	716	1247
73	725	1236
74	735	1225
75	745	1216
76	756	1207
77	765	1197
78	775	1187
79	786	1179
80	795	1168
81	805	1159
82	815	1148
83	824	1138
84	834	1129
85	844	1119
86	854	1110
87	864	1099
88	878	1095
89	887	1084
90	896	1073
91	905	1063
92	914	1052
93	924	1042
94	933	1032
95	943	1022
96	952	1011
97	961	1001
98	971	990
99	980	980
100	990	970
101	999	960
102	1010	951
103	1020	941
104	1028	930
105	1038	920
106	1047	910
107	1057	901
108	1067	891
109	1076	880
110	1085	870
111	1096	861
112	1106	851
113	1116	842
114	1126	832
115	1137	823
116	1146	813
117	1155	802
118	1164	792
119	1174	782
120	1183	772
121	1193	763
122	1198	750
123	1207	740
124	1217	730
125	1227	720
126	1237	711
127	1246	701
128	1257	691
129	1267	682
130	1289	679
131	1306	673
132	1317	663
133	1318	649
134	1332	641
135	1333	627
136	1336	614
137	1351	607
138	1361	597
139	1371	587
140	1384	579
141	1395	569
142	1405	560
143	1411	548
144	1421	539
145	1432	529
146	1446	521
147	1455	511
148	1465	501
149	1476	492
150	1485	482
151	1496	472
152	1506	462
153	1520	454
154	1535	445
155	1547	436
156	1557	426
157	1567	416
158	1577	406
159	1588	397
160	1597	387
161	1606	376
162	1617	367
163	1626	356
164	1636	347
165	1646	337
166	1661	328
167	1672	318
168	1682	308
169	1691	298
170	1701	288
171	1715	279
172	1726	269
